INSERT INTO Person (SSN, Fname, Lname, Address, Phone, Bdate, Gender, Email) VALUES
 (1, "Omar", "Khalil", "100 Baghdad, Heliopolis, Cairo", "01505829637", "1995-04-25", "M", "OmarKhalil93@gmail.com"),
(33, "Seif", "Magdy", "50 Shaheen, Al Doqi, Giza", "01149832615", "2007-05-24", "M", "SeifMagdy359@hotmail.com"),
(34, "Ehab", "Waleed", "44 28St. ,ElTahrir City, Imbaba, Giza", "01016289075", "2006-12-23", "M", "EhabWaleed339@outlook.com"),
(35, "Abdallah", "Farag", "54 Gamal Abdel Nasser, Al-Salam, Cairo", "01245198607", "2007-08-20", "M", "AbdallahFarag128@hotmail.com"),
(36, "Amr", "Ashraf", "77 Hassan Ramadan, Al Doqi, Giza", "01507639154", "2007-02-18", "M", "AmrAshraf272@gmail.com"),
(37, "Abdallah", "Yaser", "74 Taha Hussein, Zamalek, Cairo", "01505397412", "2007-04-15", "M", "AbdallahYaser291@hotmail.com"),
(38, "Wael", "Khaled", "62 26 July St, Downtown, Cairo", "01241683907", "2005-06-18", "M", "WaelKhaled403@hotmail.com"),
(39, "Yousif", "Magdy", "58 Talaat Harb, Imbaba, Giza", "01153297064", "2007-08-23", "M", "YousifMagdy139@gmail.com"),
(40, "Abdalaziz", "Khalil", "42 Bahgat Ali, Zamalek, Cairo", "01152193076", "2007-08-07", "M", "AbdalazizKhalil67@hotmail.com"),
(41, "Eyad", "Salah", "46 Gamal Abdel Nasser, Al-Salam, Cairo", "01150762139", "2008-02-15", "M", "EyadSalah153@outlook.com"),
(42, "Adham", "Zakaria", "24 Shaheen, Al Doqi, Giza", "01137492185", "2005-11-04", "M", "AdhamZakaria139@gmail.com"),
(43, "Mahmoud", "Salah", "33 Taha Hussein, Zamalek, Cairo", "01584035912", "2006-06-24", "M", "MahmoudSalah9@hotmail.com"),
(44, "Ibrahim", "Emad", "3 Al Merghany, Heliopolis, Cairo", "01152730861", "2005-03-09", "M", "IbrahimEmad331@outlook.com"),
(45, "Mohamed", "Khaled", "27 Al Kanal, Maadi, Cairo", "01018963524", "2007-03-14", "M", "MohamedKhaled122@outlook.com"),
(46, "Yousif", "Ashraf", "86 Hassan Ramadan, Al Doqi, Giza", "01249713826", "2007-02-23", "M", "YousifAshraf61@outlook.com"),
(47, "Haytham", "Hassan", "77 Sherif, Downtown, Cairo", "01150176382", "2007-01-11", "M", "HaythamHassan103@gmail.com"),
(48, "Eyad", "Hani", "100 28St. ,ElTahrir City, Imbaba, Giza", "01235081479", "2007-01-05", "M", "EyadHani210@outlook.com"),
(49, "Amr", "Farag", "88 Gamal Abdel Nasser, Al-Salam, Cairo", "01093281057", "2008-06-21", "M", "AmrFarag253@gmail.com"),
(50, "Abdallah", "Mohamed", "67 Al Teraa Al Boulakeya, Shobra, Cairo", "01578546120", "2008-11-03", "M", "AbdallahMohamed184@hotmail.com"),
(51, "Rashad", "Khaled", "8 Shaheen, Al Doqi, Giza", "01589041623", "2008-05-26", "M", "RashadKhaled353@outlook.com"),
(52, "Mahmoud", "Sayed", "17 Kholousi, Shobra, Cairo", "01225807169", "2006-08-18", "M", "MahmoudSayed22@gmail.com"),
(53, "Haytham", "Magdy", "87 Salah El Din, Heliopolis, Cairo", "01292830175", "2007-05-23", "M", "HaythamMagdy46@hotmail.com"),
(54, "Eyad", "Zakaria", "90 Gamal Abdel Nasser, Al-Salam, Cairo", "01090572483", "2005-09-14", "M", "EyadZakaria299@gmail.com"),
(55, "Rashad", "Fawzi", "12 Talaat Harb, Imbaba, Giza", "01171643928", "2008-01-11", "M", "RashadFawzi172@gmail.com"),
(56, "Zeyad", "Salah", "71 Rod El Farag, Shobra, Cairo", "01147951082", "2007-08-17", "M", "ZeyadSalah180@outlook.com"),
(57, "Ibrahim", "Fawzi", "94 Baghdad, Heliopolis, Cairo", "01087302169", "2008-10-17", "M", "IbrahimFawzi217@outlook.com"),
(58, "Amir", "Sayed", "74 Talaat Harb, Imbaba, Giza", "01081945036", "2006-07-13", "M", "AmirSayed140@hotmail.com"),
(59, "Ibrahim", "Ashraf", "11 El Tahrir, Downtown, Cairo", "01126408931", "2005-11-13", "M", "IbrahimAshraf175@gmail.com"),
(60, "Amr", "Farag", "63 Taha Hussein, Zamalek, Cairo", "01007695183", "2005-11-24", "M", "AmrFarag116@hotmail.com"),
(61, "Rashad", "Sayed", "65 Kholousi, Shobra, Cairo", "01119276584", "1999-12-06", "M", "RashadSayed177@outlook.com"),
(62, "Haytham", "Nader", "19 Hassan Ramadan, Al Doqi, Giza", "01257160239", "2002-05-16", "M", "HaythamNader105@gmail.com"),
(63, "Sherif", "Hani", "4 Mamdouh Salem, Imbaba, Giza", "01126018379", "1999-10-09", "M", "SherifHani303@gmail.com"),
(64, "Sherif", "Khaled", "53 Al Saad Al Aaly, Maadi, Cairo", "01131765240", "1995-01-09", "M", "SherifKhaled57@gmail.com"),
(65, "Omar", "Sobhi", "46 Taha Hussein, Zamalek, Cairo", "01549512830", "1993-10-22", "M", "OmarSobhi152@outlook.com"),
(66, "Kareem", "Farag", "98 26 July St, Downtown, Cairo", "01517486923", "1994-12-22", "M", "KareemFarag230@outlook.com"),
(67, "Ibrahim", "Khaled", "83 Adly, Downtown, Cairo", "01528741963", "1994-11-11", "M", "IbrahimKhaled75@hotmail.com"),
(68, "Eyad", "Sobhi", "73 Abou El Feda, Zamalek, Cairo", "01224063981", "1996-03-01", "M", "EyadSobhi407@gmail.com"),
(69, "Haytham", "Zakaria", "77 Gamal Abdel Nasser, Al-Salam, Cairo", "01197240631", "1992-10-17", "M", "HaythamZakaria59@hotmail.com"),
(70, "Rashad", "Nader", "58 Al Ahram, Heliopolis, Cairo", "01505493216", "1994-01-24", "M", "RashadNader339@outlook.com"),
(71, "Seif", "Mohamed", "16 26 July St, Downtown, Cairo", "01128176935", "2000-04-10", "M", "SeifMohamed292@outlook.com"),
(72, "Seif", "Sobhi", "79 kamal Al Tawil, Zamalek, Cairo", "01208932671", "2001-10-22", "M", "SeifSobhi298@gmail.com"),
(61, "Rashad", "Sayed", "65 Kholousi, Shobra, Cairo", "01119276584", "1999-12-06", "M", "RashadSayed177@outlook.com"),
(62, "Haytham", "Nader", "19 Hassan Ramadan, Al Doqi, Giza", "01257160239", "2002-05-16", "M", "HaythamNader105@gmail.com"),
(63, "Sherif", "Hani", "4 Mamdouh Salem, Imbaba, Giza", "01126018379", "1999-10-09", "M", "SherifHani303@gmail.com"),
(64, "Sherif", "Khaled", "53 Al Saad Al Aaly, Maadi, Cairo", "01131765240", "1995-01-09", "M", "SherifKhaled57@gmail.com"),
(65, "Omar", "Sobhi", "46 Taha Hussein, Zamalek, Cairo", "01549512830", "1993-10-22", "M", "OmarSobhi152@outlook.com"),
(66, "Kareem", "Farag", "98 26 July St, Downtown, Cairo", "01517486923", "1994-12-22", "M", "KareemFarag230@outlook.com"),
(67, "Ibrahim", "Khaled", "83 Adly, Downtown, Cairo", "01528741963", "1994-11-11", "M", "IbrahimKhaled75@hotmail.com"),
(68, "Eyad", "Sobhi", "73 Abou El Feda, Zamalek, Cairo", "01224063981", "1996-03-01", "M", "EyadSobhi407@gmail.com"),
(69, "Haytham", "Zakaria", "77 Gamal Abdel Nasser, Al-Salam, Cairo", "01197240631", "1992-10-17", "M", "HaythamZakaria59@hotmail.com"),
(70, "Rashad", "Nader", "58 Al Ahram, Heliopolis, Cairo", "01505493216", "1994-01-24", "M", "RashadNader339@outlook.com"),
(71, "Seif", "Mohamed", "16 26 July St, Downtown, Cairo", "01128176935", "2000-04-10", "M", "SeifMohamed292@outlook.com"),
(72, "Seif", "Sobhi", "79 kamal Al Tawil, Zamalek, Cairo", "01208932671", "2001-10-22", "M", "SeifSobhi298@gmail.com"),
 (73, "Yasmin", "Hassan", "92 Champeleon, Downtown, Cairo", "01212963458", "2002-03-22", "F", "YasminHassan380@gmail.com"),
(74, "Salma", "Khalil", "13 Gamal Abdel Nasser, Al-Salam, Cairo", "01198345027", "1995-01-27", "F", "SalmaKhalil71@hotmail.com"),
(75, "Hana", "Magdy", "80 Bahgat Ali, Zamalek, Cairo", "01297056842", "1996-11-26", "F", "HanaMagdy330@outlook.com"),
(76, "Esraa", "Ezzat", "27 Gad Eid, Al Doqi, Giza", "01065317249", "2001-03-04", "F", "EsraaEzzat135@hotmail.com"),
(77, "Aya", "Mohamed", "50 Gamal Abdel Nasser, Al-Salam, Cairo", "01221740893", "1991-04-07", "F", "AyaMohamed24@gmail.com"),
(78, "Nour", "Ghanim", "10 Mamdouh Salem, Imbaba, Giza", "01214928753", "1994-03-06", "F", "NourGhanim311@gmail.com"),
(79, "Yasmin", "Hassan", "23 Oraby, Maadi, Cairo", "01150391872", "1995-12-16", "F", "YasminHassan415@outlook.com"),
(80, "Amal", "Khaled", "27 Shaheen, Al Doqi, Giza", "01061237485", "1991-03-24", "F", "AmalKhaled402@gmail.com"),
(81, "Amani", "Waleed", "92 Al Ahram, Heliopolis, Cairo", "01219273548", "1997-07-14", "F", "AmaniWaleed196@gmail.com"),
(82, "Arwa", "Khalil", "9 Gamal Abdel Nasser, Al-Salam, Cairo", "01175423906", "1998-04-11", "F", "ArwaKhalil403@gmail.com"),
(83, "Omnya", "Khaled", "7 Al Merghany, Heliopolis, Cairo", "01029730458", "1996-05-01", "F", "OmnyaKhaled318@gmail.com"),
(84, "Rahma", "Sobhi", "92 Mamdouh Salem, Imbaba, Giza", "01523571648", "1998-03-27", "F", "RahmaSobhi212@outlook.com"),
(85, "Salma", "Salah", "65 26 July St, Downtown, Cairo", "01521548936", "2002-01-02", "F", "SalmaSalah286@outlook.com"),
(86, "Salma", "Khaled", "53 Kholousi, Shobra, Cairo", "01273980156", "2004-03-17", "F", "SalmaKhaled5@outlook.com"),
(87, "Mostafa", "Sobhi", "24 Doletyan, Shobra, Cairo", "01539218046", "2001-11-15", "M", "MostafaSobhi199@outlook.com"),
(88, "Toaa", "Hani", "20 Hassan Sabry, Zamalek, Cairo", "01217398620", "2000-01-24", "F", "ToaaHani357@gmail.com"),
(89, "Yasmin", "Fawzi", "74 Salah El Din, Heliopolis, Cairo", "01208473291", "2000-09-16", "F", "YasminFawzi13@gmail.com"),
(90, "Mostafa", "Khalil", "61 Salah El Din, Heliopolis, Cairo", "01564973102", "2001-08-10", "M", "MostafaKhalil107@outlook.com"),
(91, "Yasmin", "Nader", "91 151 St., Maadi, Cairo", "01230586724", "1998-01-27", "F", "YasminNader230@hotmail.com"),
(92, "Ibrahim", "Adel", "92 Bahgat Ali, Zamalek, Cairo", "01296273105", "2001-10-16", "M", "IbrahimAdel20@hotmail.com"),
(93, "Abdallah", "Zakaria", "19 Shaheen, Al Doqi, Giza", "01597628104", "2003-09-01", "M", "AbdallahZakaria401@outlook.com"),
(94, "Ahmed", "Khalil", "42 18St. , ElTahrir City, Imbaba, Giza", "01196237450", "1994-08-16", "M", "AhmedKhalil52@outlook.com"),
 (95, "Amani", "Emad", "25 Al Merghany, Heliopolis, Cairo", "01145701892", "2002-07-19", "F", "AmaniEmad90@hotmail.com"),
(96, "Noureen", "Nader", "15 Bahgat Ali, Zamalek, Cairo", "01152803697", "1998-09-27", "F", "NoureenNader296@hotmail.com"),
(97, "Rahma", "Yaser", "95 Al Kanal, Maadi, Cairo", "01143586219", "2001-12-05", "F", "RahmaYaser232@gmail.com"),
(98, "Amal", "Nader", "5 Shaheen, Al Doqi, Giza", "01596873520", "1999-07-06", "F", "AmalNader414@hotmail.com"),
(99, "Ehab", "Zakaria", "60 El Sadat, Al-Salam, Cairo", "01582017354", "2001-04-08", "M", "EhabZakaria23@hotmail.com"),
(100, "Ahmed", "Ashraf", "66 Gezira, Zamalek, Cairo", "01128461309", "1995-07-26", "M", "AhmedAshraf46@gmail.com"),
(101, "Salma", "Khalil", "72 Al Hegaz, Heliopolis, Cairo", "01061924078", "2000-02-21", "F", "SalmaKhalil177@gmail.com"),
(102, "Yousif", "Ezzat", "53 Kholousi, Shobra, Cairo", "01573812965", "1999-05-06", "M", "YousifEzzat383@gmail.com"),
(103, "Ali", "Salah", "42 Talaat Harb, Imbaba, Giza", "01069183740", "1995-04-05", "M", "AliSalah71@hotmail.com"),
(104, "Noureen", "Ashraf", "91 Al Nozha, Heliopolis, Cairo", "01010359476", "1994-09-09", "F", "NoureenAshraf331@outlook.com"),
(105, 'Yousif', 'Emad', '93 Champeleon, Downtown, Cairo', '01169247835', '1985-03-11', 'M', 'YousifEmad138@hotmail.com'),
(106, 'Eyad', 'Fawzi', '53 Damascus, Maadi, Cairo', '01138452016', '1976-03-04', 'M', 'EyadFawzi146@outlook.com'),
(107, 'Abdalaziz', 'Zakaria', '62 Al Hegaz, Heliopolis, Cairo', '01132159408', '1962-01-17', 'M', 'AbdalazizZakaria375@gmail.com'),
(108, 'Ali', 'Mohamed', '5 Talaat Harb, Imbaba, Giza', '01129463781', '1967-05-19', 'M', 'AliMohamed256@gmail.com'),
(109, 'Kareem', 'Sobhi', '92 Ahmed Helmy, Shobra, Cairo', '01164875392', '1985-04-24', 'M', 'KareemSobhi162@gmail.com'),
(110, 'Abdallah', 'Khaled', '17 Shagaret Al Dor, Zamalek, Cairo', '01296812375', '1978-02-15', 'M', 'AbdallahKhaled113@hotmail.com'),
(111, 'Ehab', 'Khaled', '57 Mamdouh Salem, Imbaba, Giza', '01198410573', '1962-11-26', 'M', 'EhabKhaled379@outlook.com'),
(112, 'Amr', 'Adel', '70 9 St., Maadi, Cairo', '01513249768', '1985-07-19', 'M', 'AmrAdel89@gmail.com'),
(113, 'Wael', 'Khalil', '65 Hassan Sabry, Zamalek, Cairo', '01016725398', '1984-03-21', 'M', 'WaelKhalil88@outlook.com'),
(114, 'Yousif', 'Yaser', '83 Talaat Harb, Imbaba, Giza', '01245380216', '1964-07-01', 'M', 'YousifYaser110@outlook.com'),
(115, "Aya", "Ezzat", "90 Kholousi, Shobra, Cairo", "01212950786", "2019-07-26", "F", "AyaEzzat265@hotmail.com"),
(116, "Mahmoud", "Zakaria", "23 151 St., Maadi, Cairo", "01228905416", "1974-12-04", "M", "MahmoudZakaria299@hotmail.com"),
(117, "Marawan", "Ghanim", "61 18St. , ElTahrir City, Imbaba, Giza", "01076905423", "2011-02-25", "M", "MarawanGhanim187@hotmail.com"),
(118, "Shahd", "Ashraf", "17 151 St., Maadi, Cairo", "01029560741", "1972-09-22", "F", "ShahdAshraf124@hotmail.com"),
(119, "Kareem", "Khalil", "95 Hassan Sabry, Zamalek, Cairo", "01029076415", "1980-06-13", "M", "KareemKhalil297@outlook.com"),
(120, "Omnya", "Hani", "78 Al Ahram, Heliopolis, Cairo", "01520839745", "1960-04-12", "F", "OmnyaHani250@hotmail.com"),
(121, "Ali", "Nader", "72 Taha Hussein, Zamalek, Cairo", "01048392160", "2013-10-10", "M", "AliNader306@gmail.com"),
(122, "Mariam", "Salah", "99 18St. , ElTahrir City, Imbaba, Giza", "01505672381", "2000-04-02", "F", "MariamSalah194@gmail.com"),
(123, "Nourhan", "Yaser", "50 Al Merghany, Heliopolis, Cairo", "01269820351", "1972-01-01", "F", "NourhanYaser164@hotmail.com"),
(124, "Toaa", "Fawzi", "92 Shaheen, Al Doqi, Giza", "01572394085", "1961-04-27", "F", "ToaaFawzi32@outlook.com"),
(125, "Shahd", "Ghanim", "42 Kholousi, Shobra, Cairo", "01268352907", "2004-11-06", "F", "ShahdGhanim128@hotmail.com"),
(126, "Hana", "Mohamed", "86 Al Saad Al Aaly, Maadi, Cairo", "01178019432", "1971-12-27", "F", "HanaMohamed372@hotmail.com"),
(127, "Ahmed", "Ashraf", "66 Hassan Ramadan, Al Doqi, Giza", "01001298675", "2008-01-27", "M", "AhmedAshraf71@gmail.com"),
(128, "Esraa", "Fawzi", "78 Sherif, Downtown, Cairo", "01595130678", "2001-06-19", "F", "EsraaFawzi141@outlook.com"),
(129, "Ahmed", "Adel", "15 Shaheen, Al Doqi, Giza", "01212456980", "1964-05-06", "M", "AhmedAdel97@hotmail.com"),
(130, "Nour", "Hani", "69 Salah El Din, Heliopolis, Cairo", "01523601987", "1978-11-28", "F", "NourHani231@hotmail.com"),
(131, "Marawan", "Adel", "8 El Tahrir, Downtown, Cairo", "01020478163", "2015-10-15", "M", "MarawanAdel389@hotmail.com"),
(132, "Sherif", "Waleed", "59 Adly, Downtown, Cairo", "01520169785", "1974-11-01", "M", "SherifWaleed396@gmail.com"),
(133, "Ibrahim", "Nader", "95 Gad Eid, Al Doqi, Giza", "01140897325", "2017-09-18", "M", "IbrahimNader129@outlook.com"),
(134, "Ali", "Adel", "83 Hassan Sabry, Zamalek, Cairo", "01041578392", "2016-12-26", "M", "AliAdel168@outlook.com"),
(135, "Dina", "Zakaria", "78 Gamal Abdel Nasser, Al-Salam, Cairo", "01130142958", "2000-07-01", "F", "DinaZakaria238@hotmail.com"),
(136, "Amir", "Ghanim", "56 Hassan Ramadan, Al Doqi, Giza", "01278413962", "1976-09-13", "M", "AmirGhanim296@gmail.com"),
(137, "Hana", "Ghanim", "41 26 July St, Downtown, Cairo", "01529506374", "1960-04-10", "F", "HanaGhanim335@outlook.com"),
(138, "Rahma", "Salah", "55 Rod El Farag, Shobra, Cairo", "01231264870", "2011-08-18", "F", "RahmaSalah55@hotmail.com"),
(139, "Nada", "Mohamed", "86 Al Ahram, Heliopolis, Cairo", "01139465781", "1992-06-28", "F", "NadaMohamed211@hotmail.com"),
(140, "Haytham", "Nader", "82 Al Nozha, Heliopolis, Cairo", "01087023159", "2007-02-14", "M", "HaythamNader374@hotmail.com"),
(141, "Seif", "Yaser", "23 Damascus, Maadi, Cairo", "01524381096", "1996-10-05", "M", "SeifYaser51@hotmail.com"),
(142, "Rahma", "Farag", "40 Al Nozha, Heliopolis, Cairo", "01196371820", "1990-07-14", "F", "RahmaFarag243@gmail.com"),
(143, "Esraa", "Fawzi", "91 Al Khamrawaya, Shobra, Cairo", "01186475032", "1962-04-17", "F", "EsraaFawzi139@outlook.com"),
(144, "Rahma", "Farag", "9 Gamal Abdel Nasser, Al-Salam, Cairo", "01559708326", "2004-07-06", "F", "RahmaFarag92@gmail.com"),
(145, "Nourhan", "Farag", "99 Gezira, Zamalek, Cairo", "01195304621", "2010-02-26", "F", "NourhanFarag348@outlook.com"),
(146, "Aya", "Hassan", "5 26 July St, Downtown, Cairo", "01258274610", "1988-02-01", "F", "AyaHassan189@gmail.com"),
(147, "Amal", "Hassan", "83 Mamdouh Salem, Imbaba, Giza", "01150698372", "2003-03-13", "F", "AmalHassan190@outlook.com"),
(148, "Adham", "Magdy", "96 Baghdad, Heliopolis, Cairo", "01070463951", "2008-07-26", "M", "AdhamMagdy379@hotmail.com"),
(149, "Abdelrahman", "Emad", "44 Al Nahda, Maadi, Cairo", "01182159403", "1979-12-07", "M", "AbdelrahmanEmad49@hotmail.com"),
(150, "Mostafa", "Adel", "43 El Tahrir, Downtown, Cairo", "01172061384", "1995-09-16", "M", "MostafaAdel309@outlook.com"),
(151, "Hana", "Sobhi", "86 Gamal Abdel Nasser, Al-Salam, Cairo", "01137219054", "1960-01-05", "F", "HanaSobhi296@outlook.com"),
(152, "Ahmed", "Waleed", "72 Talaat Harb, Imbaba, Giza", "01145107398", "2011-11-05", "M", "AhmedWaleed327@gmail.com"),
(153, "Mahmoud", "Adel", "26 Al Kanal, Maadi, Cairo", "01006538479", "1994-06-22", "M", "MahmoudAdel136@outlook.com"),
(154, "Abdalaziz", "Sobhi", "31 Talaat Harb, Downtown, Cairo", "01593051674", "1962-11-22", "M", "AbdalazizSobhi331@hotmail.com"),
(155, "Abdalaziz", "Zakaria", "29 Hassan Assem, Zamalek, Cairo", "01232974106", "2003-12-16", "M", "AbdalazizZakaria326@gmail.com"),
(156, "Abdallah", "Hani", "90 Baghdad, Heliopolis, Cairo", "01071256038", "1981-06-26", "M", "AbdallahHani121@outlook.com"),
(157, "Amal", "Adel", "50 Shobra St., Shobra, Cairo", "01057612438", "1983-08-18", "F", "AmalAdel370@gmail.com"),
(158, "Marawan", "Ezzat", "5 Al Saad Al Aaly, Maadi, Cairo", "01570961254", "1961-02-06", "M", "MarawanEzzat372@gmail.com"),
(159, "Adham", "Ghanim", "30 Al Nadi, Maadi, Cairo", "01179630418", "2000-03-28", "M", "AdhamGhanim132@gmail.com"),
(160, "Kareem", "Ashraf", "86 Oraby, Maadi, Cairo", "01517390456", "2003-11-23", "M", "KareemAshraf54@outlook.com"),
(161, "Ali", "Nader", "29 Al Ahram, Heliopolis, Cairo", "01518936472", "1998-11-17", "M", "AliNader332@outlook.com"),
(162, "Omar", "Mohamed", "2 Al Kanal, Maadi, Cairo", "01574823169", "2014-03-21", "M", "OmarMohamed112@hotmail.com"),
(163, "Seif", "Sobhi", "16 Damascus, Maadi, Cairo", "01562987543", "1962-03-15", "M", "SeifSobhi37@gmail.com"),
(164, "Abdelrahman", "Emad", "40 Rod El Farag, Shobra, Cairo", "01525678039", "1994-03-18", "M", "AbdelrahmanEmad229@hotmail.com"),
(165, "Mohamed", "Adel", "66 Champeleon, Downtown, Cairo", "01167398041", "2006-07-06", "M", "MohamedAdel124@outlook.com"),
(166, "Nour", "Magdy", "74 28St. ,ElTahrir City, Imbaba, Giza", "01262089317", "1984-07-16", "F", "NourMagdy91@outlook.com"),
(167, "Amir", "Khaled", "75 Talaat Harb, Imbaba, Giza", "01226837915", "2008-02-07", "M", "AmirKhaled255@outlook.com"),
(168, "Ibrahim", "Sayed", "59 Al Kanal, Maadi, Cairo", "01507286319", "1990-08-18", "M", "IbrahimSayed170@hotmail.com"),
(169, "Rahma", "Sayed", "98 Al Ahram, Heliopolis, Cairo", "01030862971", "1967-09-25", "F", "RahmaSayed139@outlook.com"),
(170, "Abdalaziz", "Khaled", "21 Al Nozha, Heliopolis, Cairo", "01005687193", "1960-02-20", "M", "AbdalazizKhaled86@hotmail.com"),
(171, "Rashad", "Khalil", "28 Sherif, Downtown, Cairo", "01274189035", "2014-11-01", "M", "RashadKhalil63@outlook.com"),
(172, "Nourhan", "Khalil", "10 18St. , ElTahrir City, Imbaba, Giza", "01150673294", "1994-10-15", "F", "NourhanKhalil252@hotmail.com"),
(173, "Nour", "Fawzi", "46 Talaat Harb, Imbaba, Giza", "01520567489", "1965-10-20", "F", "NourFawzi136@hotmail.com"),
(174, "Wael", "Sobhi", "53 El Sadat, Al-Salam, Cairo", "01091048573", "2005-03-17", "M", "WaelSobhi221@gmail.com"),
(175, "Mohamed", "Fawzi", "51 Baghdad, Heliopolis, Cairo", "01565089127", "1987-07-23", "M", "MohamedFawzi314@gmail.com"),
(176, "Zeyad", "Salah", "58 Al Nadi, Maadi, Cairo", "01051496320", "1998-06-24", "M", "ZeyadSalah281@hotmail.com"),
(177, "Kareem", "Hani", "15 Taha Hussein, Zamalek, Cairo", "01284965327", "2012-08-05", "M", "KareemHani300@outlook.com"),
(178, "Mohamed", "Sobhi", "25 Shaheen, Al Doqi, Giza", "01282637094", "1974-11-22", "M", "MohamedSobhi12@hotmail.com"),
