INSERT INTO Pro (Player_SSN, Management_Name, Salary, ContractStart, ContractEnd) VALUES
(59, 'Sport', 104945, '2023-11-04', '2026-06-20'),
(60, 'Sport', 117627, '2022-01-04', '2025-08-15'),
(61, 'Sport', 155605, '2020-03-06', '2026-01-07'),
(62, 'Sport', 162287, '2021-04-05', '2026-03-23'),
(63, 'Sport', 166569, '2021-09-06', '2024-04-08'),
(64, 'Sport', 164241, '2021-04-03', '2025-05-01'),
(65, 'Sport', 218288, '2020-07-04', '2024-10-07'),
(66, 'Sport', 150341, '2021-09-04', '2024-07-08'),
(67, 'Sport', 188940, '2020-04-04', '2024-07-26'),
(68, 'Sport', 226256, '2020-06-06', '2026-02-06'),
(69, 'Sport', 137371, '2022-01-06', '2026-10-01'),
(70, 'Sport', 149819, '2022-09-04', '2026-03-16'),
(71, 'Sport', 142645, '2023-02-01', '2024-09-13'),
(72, 'Sport', 197347, '2021-05-05', '2025-12-01'),
(73, 'Sport', 144013, '2023-07-02', '2024-04-28'),
(74, 'Sport', 117309, '2022-12-02', '2024-03-25'),
(75, 'Sport', 135298, '2022-12-06', '2024-07-03'),
(76, 'Sport', 135253, '2022-12-02', '2026-07-13'),
(77, 'Sport', 114414, '2022-05-03', '2025-01-17'),
(78, 'Sport', 121816, '2023-05-06', '2026-04-21'),
(79, 'Sport', 124189, '2023-12-04', '2026-01-04'),
(80, 'Sport', 116771, '2022-02-05', '2025-02-07'),
(81, 'Sport', 144058, '2023-08-05', '2025-05-02'),
(82, 'Sport', 134779, '2023-12-01', '2024-10-03'),
(83, 'Sport', 130349, '2022-10-06', '2026-12-17'),
(84, 'Sport', 119109, '2022-07-05', '2025-06-22'),
(85, 'Sport', 156526, '2023-09-06', '2024-11-20'),
(86, 'Sport', 138367, '2023-10-01', '2026-03-23'),
(87, 'Sport', 140162, '2022-02-06', '2025-11-07'),
(88, 'Sport', 145097, '2022-11-03', '2026-01-09'),
(89, 'Sport', 127079, '2022-01-05', '2025-06-13'),
(90, 'Sport', 123290, '2023-03-03', '2026-08-10'),
(91, 'Sport', 159542, '2023-11-05', '2025-07-07'),
(92, 'Sport', 149449, '2022-04-01', '2026-04-09'),
(93, 'Sport', 122025, '2022-12-04', '2025-02-20'),
(94, 'Sport', 158108, '2022-03-02', '2026-08-19'),
(95,"Sport",101586,"2022-03-05","2024-07-03"),
(96,"Sport",91671,"2022-07-04","2025-03-18"),
(97,"Sport",91071,"2023-11-06","2025-01-11"),
(98,"Sport",112574,"2022-09-06","2024-02-09"),
(99,"Sport",95913,"2022-12-03","2025-08-26"),
(100,"Sport",104142,"2022-10-03","2026-07-07"),
(101,"Sport",104972,"2023-06-02","2024-01-19"),
(102,"Sport",91490,"2023-06-03","2025-04-18"),
(103,"Sport",99797,"2022-03-05","2024-05-12"),
(104,"Sport",106056,"2023-11-06","2024-03-21");
INSERT INTO Pro (Coach_SSN, Management_Name, Salary, ContractStart, ContractEnd) VALUES
(105,"Sport",194682,"2021-04-03","2025-10-25");
INSERT INTO Pro (Coach_SSN, Management_Name, Salary, ContractStart, ContractEnd) VALUES
(106,"Sport",156649,"2020-09-04","2025-01-08"),
(107,"Sport",125188,"2022-10-05","2025-01-21"),
(108,"Sport",134850,"2019-03-06","2026-11-24");
INSERT INTO Pro (Coach_SSN, Management_Name, Salary, ContractStart, ContractEnd) VALUES
(109,"Sport",127778,"2021-11-06","2024-01-16"),
(110,"Sport",124745,"2021-09-05","2025-08-26"),
(111,"Sport",145006,"2020-12-06","2024-12-22"),
(112,"Sport",123781,"2021-08-02","2024-02-14"),
(113,"Sport",137288,"2021-08-04","2024-11-27"),
(114,"Sport",124605,"2020-08-06","2025-12-13");
